Area Name,Year,Variable,Value
Florida,2015,Crimes Per 100,3275
New Hampshire,1993,Crimes Per 100,2905
California,2014,Crimes Per 100,2837
Nebraska,1993,Crimes Per 100,4117
Minnesota,1990,Crimes Per 100,4539
New Hampshire,1999,Property Crimes Per 100,2185
New York,2007,Crimes Per 100,2393
Mississippi,2003,Crimes Per 100,4031
Mississippi,2001,Crimes Per 100,4185
Idaho,2001,Crimes Per 100,3133
Nevada,2003,Crimes Per 100,4903
Wisconsin,1999,Violent Crimes Per 100,246
Virginia,2002,Violent Crimes Per 100,292
Virginia,1995,Violent Crimes Per 100,362
Oklahoma,2008,Violent Crimes Per 100,527
Mississippi,2009,Violent Crimes Per 100,281
Texas,1998,Crimes Per 100,5112
Vermont,1994,Crimes Per 100,3250
Nevada,2005,Crimes Per 100,4848
Maryland,2012,Violent Crimes Per 100,477
Utah,2005,Property Crimes Per 100,3869
Maine,2014,Property Crimes Per 100,1986
California,2013,Violent Crimes Per 100,396
Massachusetts,1995,Violent Crimes Per 100,687
Maine,1996,Violent Crimes Per 100,125
Arkansas,2002,Violent Crimes Per 100,425
Minnesota,2013,Property Crimes Per 100,2420
Nebraska,2003,Property Crimes Per 100,3752
California,2016,Property Crimes Per 100,2553
Michigan,2004,Property Crimes Per 100,3058
Massachusetts,1990,Violent Crimes Per 100,736
Georgia,1997,Property Crimes Per 100,5185
Connecticut,1996,Property Crimes Per 100,3816
West Virginia,2004,Violent Crimes Per 100,271
Hawaii,2006,Violent Crimes Per 100,281
District of Columbia,2004,Violent Crimes Per 100,1371
Florida,1990,Violent Crimes Per 100,1244
District of Columbia,2006,Property Crimes Per 100,4653
Arkansas,1991,Violent Crimes Per 100,593
South Dakota,2015,Property Crimes Per 100,1943
Nevada,2008,Violent Crimes Per 100,725
North Dakota,1993,Crimes Per 100,2820
Rhode Island,1992,Property Crimes Per 100,4183
Pennsylvania,1992,Property Crimes Per 100,2966
Mississippi,2007,Violent Crimes Per 100,291
Missouri,2006,Violent Crimes Per 100,545
Ohio,1991,Violent Crimes Per 100,562
Idaho,2003,Violent Crimes Per 100,246
Ohio,2012,Crimes Per 100,3417
Texas,2006,Crimes Per 100,4597
South Dakota,2003,Crimes Per 100,2177
Texas,2015,Crimes Per 100,3243
Oklahoma,2016,Crimes Per 100,3433
Massachusetts,2016,Property Crimes Per 100,1561
Tennessee,2001,Property Crimes Per 100,4408
New Jersey,2005,Crimes Per 100,2688
Tennessee,1994,Crimes Per 100,5120
Oklahoma,2002,Crimes Per 100,4743
Iowa,2016,Crimes Per 100,2377
Illinois,2009,Crimes Per 100,3234
Alaska,2009,Crimes Per 100,3579
Florida,1996,Crimes Per 100,7497
Arkansas,1997,Crimes Per 100,4719
Indiana,1999,Violent Crimes Per 100,375
Kentucky,1990,Violent Crimes Per 100,390
Arkansas,2005,Crimes Per 100,4585
Maine,2007,Violent Crimes Per 100,118
Nevada,1999,Violent Crimes Per 100,570
Georgia,2008,Violent Crimes Per 100,479
Kentucky,2008,Violent Crimes Per 100,296
Kansas,2002,Violent Crimes Per 100,377
South Dakota,1991,Property Crimes Per 100,2897
New York,2000,Property Crimes Per 100,2546
Indiana,1996,Property Crimes Per 100,3961
Kentucky,2000,Property Crimes Per 100,2665
Colorado,2011,Property Crimes Per 100,2606
Kansas,1994,Violent Crimes Per 100,479
Connecticut,2008,Violent Crimes Per 100,298
Illinois,1993,Violent Crimes Per 100,960
Kentucky,1998,Property Crimes Per 100,2788
Arkansas,2009,Violent Crimes Per 100,518
Alabama,2011,Violent Crimes Per 100,420
Alabama,2001,Violent Crimes Per 100,439
West Virginia,2003,Violent Crimes Per 100,255
Wyoming,1998,Violent Crimes Per 100,248
Arizona,2007,Violent Crimes Per 100,483
Alabama,2016,Violent Crimes Per 100,532
New Jersey,2014,Property Crimes Per 100,1734
Wisconsin,2002,Violent Crimes Per 100,225
Nevada,2000,Violent Crimes Per 100,524
Arkansas,2005,Property Crimes Per 100,4058
California,1995,Property Crimes Per 100,4865
South Dakota,2012,Property Crimes Per 100,2060
Rhode Island,2007,Property Crimes Per 100,2623
Nebraska,2007,Property Crimes Per 100,3161
New York,2010,Property Crimes Per 100,1941
Maine,2009,Property Crimes Per 100,2404
Mississippi,2002,Violent Crimes Per 100,344
Minnesota,1992,Violent Crimes Per 100,338
Missouri,2001,Property Crimes Per 100,4235
Michigan,2004,Violent Crimes Per 100,490
Massachusetts,1998,Violent Crimes Per 100,621
Massachusetts,1992,Crimes Per 100,5003
Arkansas,2009,Crimes Per 100,4291
Pennsylvania,1998,Violent Crimes Per 100,421
Pennsylvania,1997,Violent Crimes Per 100,442
Nevada,1993,Violent Crimes Per 100,875
Michigan,1997,Violent Crimes Per 100,590
West Virginia,1994,Crimes Per 100,2528
South Carolina,2005,Crimes Per 100,5101
Wisconsin,2003,Crimes Per 100,3101
California,2014,Property Crimes Per 100,2441
New Mexico,2003,Crimes Per 100,4756
Oklahoma,2015,Crimes Per 100,3308
North Dakota,2007,Crimes Per 100,2032
North Dakota,2014,Crimes Per 100,2375
Wisconsin,1990,Crimes Per 100,4395
New Jersey,2007,Crimes Per 100,2542
Illinois,2007,Crimes Per 100,3469
Michigan,1998,Crimes Per 100,4683
District of Columbia,2010,Crimes Per 100,6109
Idaho,2009,Crimes Per 100,2217
Arkansas,1993,Violent Crimes Per 100,593
Wyoming,2015,Property Crimes Per 100,1903
Mississippi,1991,Property Crimes Per 100,3832
Maine,1995,Property Crimes Per 100,3153
Alabama,2016,Property Crimes Per 100,2948
Wisconsin,1999,Crimes Per 100,3296
Wisconsin,1998,Crimes Per 100,3543
Pennsylvania,2007,Crimes Per 100,2778
Georgia,1999,Crimes Per 100,5148
Michigan,1995,Crimes Per 100,5183
Arizona,2008,Crimes Per 100,4738
Florida,2000,Property Crimes Per 100,4883
Colorado,2006,Property Crimes Per 100,3451
Oklahoma,2015,Violent Crimes Per 100,422
Washington,2016,Violent Crimes Per 100,302
Indiana,2012,Crimes Per 100,3375
Maryland,1991,Crimes Per 100,6209
California,1992,Crimes Per 100,6679
Arkansas,2004,Crimes Per 100,4512
Hawaii,2001,Crimes Per 100,5386
Florida,1998,Crimes Per 100,6886
California,1995,Crimes Per 100,5831
New Jersey,2016,Violent Crimes Per 100,245
Wisconsin,2001,Crimes Per 100,3321
Tennessee,2012,Crimes Per 100,4015
South Carolina,1993,Crimes Per 100,5903
Indiana,2013,Crimes Per 100,3204
Pennsylvania,1998,Crimes Per 100,3273
North Dakota,2011,Crimes Per 100,2184
New Hampshire,1998,Property Crimes Per 100,2313
Kansas,1997,Crimes Per 100,5152
Oklahoma,2007,Property Crimes Per 100,3526
Wisconsin,1990,Property Crimes Per 100,4130
Nevada,2008,Property Crimes Per 100,3448
Mississippi,2015,Crimes Per 100,3110
Oregon,2012,Crimes Per 100,3472
West Virginia,2005,Crimes Per 100,2898
New Mexico,2015,Crimes Per 100,4353
Rhode Island,1999,Property Crimes Per 100,3296
Washington,2013,Crimes Per 100,3988
Montana,2014,Crimes Per 100,2797
Rhode Island,1999,Crimes Per 100,3583
Alaska,1994,Violent Crimes Per 100,766
Massachusetts,1996,Property Crimes Per 100,3195
Ohio,2009,Violent Crimes Per 100,332
Utah,1992,Violent Crimes Per 100,291
Wisconsin,1996,Violent Crimes Per 100,253
Vermont,1996,Violent Crimes Per 100,121
Wyoming,1999,Violent Crimes Per 100,233
Indiana,2001,Property Crimes Per 100,3460
Tennessee,2005,Violent Crimes Per 100,753
Ohio,2012,Violent Crimes Per 100,300
Georgia,2003,Crimes Per 100,4715
Tennessee,2011,Violent Crimes Per 100,608
Alabama,2003,Crimes Per 100,4475
Washington,2009,Violent Crimes Per 100,331
Georgia,1990,Crimes Per 100,6764
Alaska,1990,Crimes Per 100,5153
North Carolina,2011,Crimes Per 100,3877
New Hampshire,2016,Crimes Per 100,1711
Washington,2000,Crimes Per 100,5106
Pennsylvania,2016,Crimes Per 100,2059
Idaho,2005,Property Crimes Per 100,2698
Georgia,2007,Property Crimes Per 100,3901
Florida,2007,Property Crimes Per 100,4089
Kentucky,2002,Property Crimes Per 100,2655
Hawaii,1990,Crimes Per 100,6107
Illinois,1997,Crimes Per 100,5141
Michigan,2002,Crimes Per 100,3874
Arizona,2001,Crimes Per 100,6077
Rhode Island,2014,Violent Crimes Per 100,219
California,1999,Crimes Per 100,3805
New Mexico,2016,Violent Crimes Per 100,703
Idaho,1993,Crimes Per 100,3845
Louisiana,1996,Crimes Per 100,6839
Illinois,1994,Crimes Per 100,5626
Alaska,2010,Violent Crimes Per 100,639
Texas,2002,Crimes Per 100,5190
Maine,1991,Crimes Per 100,3768
New Hampshire,1991,Crimes Per 100,3448
New Mexico,2000,Crimes Per 100,5519
Kansas,2015,Violent Crimes Per 100,390
South Dakota,1997,Crimes Per 100,3245
Tennessee,1995,Violent Crimes Per 100,772
Vermont,2000,Violent Crimes Per 100,114
South Dakota,2001,Violent Crimes Per 100,155
Connecticut,2005,Violent Crimes Per 100,275
Alabama,2003,Violent Crimes Per 100,429
Tennessee,2013,Property Crimes Per 100,3181
Oregon,2015,Property Crimes Per 100,2947
West Virginia,2000,Violent Crimes Per 100,317
Maryland,2010,Violent Crimes Per 100,548
Texas,1990,Violent Crimes Per 100,761
North Dakota,1997,Violent Crimes Per 100,87
Oklahoma,2011,Property Crimes Per 100,3356
Wisconsin,2004,Property Crimes Per 100,2663
New York,2013,Property Crimes Per 100,1825
Washington,1999,Property Crimes Per 100,4878
Massachusetts,2003,Violent Crimes Per 100,473
Idaho,2005,Violent Crimes Per 100,257
Nebraska,2015,Property Crimes Per 100,2241
Wisconsin,2009,Violent Crimes Per 100,257
Wisconsin,2006,Violent Crimes Per 100,284
South Carolina,2009,Violent Crimes Per 100,671
Oklahoma,1991,Property Crimes Per 100,5085
Nevada,1995,Property Crimes Per 100,5634
Idaho,2014,Violent Crimes Per 100,212
Nebraska,1992,Violent Crimes Per 100,349
California,2011,Violent Crimes Per 100,411
Kentucky,2016,Violent Crimes Per 100,232
Connecticut,2015,Violent Crimes Per 100,219
Georgia,2015,Crimes Per 100,3400
Delaware,2013,Crimes Per 100,3545
Indiana,1999,Crimes Per 100,3766
Arkansas,2000,Crimes Per 100,4115
Oklahoma,1996,Violent Crimes Per 100,597
North Dakota,1998,Violent Crimes Per 100,89
Mississippi,2005,Violent Crimes Per 100,278
West Virginia,2001,Property Crimes Per 100,2280
Wisconsin,1997,Property Crimes Per 100,3407
Michigan,1991,Violent Crimes Per 100,803
Delaware,1995,Violent Crimes Per 100,725
Wyoming,1997,Property Crimes Per 100,3926
New Hampshire,2006,Property Crimes Per 100,1874
Minnesota,1997,Property Crimes Per 100,4076
Florida,2011,Property Crimes Per 100,3522
Nevada,1998,Property Crimes Per 100,4637
Idaho,2009,Property Crimes Per 100,1989
Iowa,1990,Property Crimes Per 100,3801
Colorado,2014,Violent Crimes Per 100,309
Illinois,1991,Violent Crimes Per 100,1039
Hawaii,1994,Violent Crimes Per 100,262
Hawaii,1991,Violent Crimes Per 100,242
Delaware,1996,Violent Crimes Per 100,668
Colorado,1998,Violent Crimes Per 100,378
Virginia,2006,Property Crimes Per 100,2478
North Carolina,2006,Violent Crimes Per 100,475
Oregon,2004,Violent Crimes Per 100,298
Alabama,2004,Violent Crimes Per 100,427
New Jersey,1993,Property Crimes Per 100,4174
Hawaii,2013,Property Crimes Per 100,3054
Maryland,1998,Property Crimes Per 100,4569
Idaho,1990,Property Crimes Per 100,3781
West Virginia,1992,Property Crimes Per 100,2398
California,2010,Property Crimes Per 100,2636
Pennsylvania,2008,Property Crimes Per 100,2410
Washington,1998,Crimes Per 100,5867
Washington,2005,Crimes Per 100,5239
Ohio,2004,Crimes Per 100,4015
West Virginia,2011,Crimes Per 100,2590
North Carolina,2001,Crimes Per 100,4938
North Dakota,1997,Crimes Per 100,2711
Oklahoma,1995,Crimes Per 100,5597
South Carolina,1994,Crimes Per 100,6001
Indiana,2004,Property Crimes Per 100,3398
New Jersey,2000,Crimes Per 100,3161
New Hampshire,1992,Property Crimes Per 100,2955
Kansas,2008,Property Crimes Per 100,3377
New Mexico,1994,Property Crimes Per 100,5299
Rhode Island,1992,Crimes Per 100,4578
Nevada,1991,Crimes Per 100,6299
Minnesota,1997,Crimes Per 100,4414
Hawaii,2013,Crimes Per 100,3299
Tennessee,1990,Crimes Per 100,5051
Indiana,2011,Crimes Per 100,3494
Illinois,2016,Crimes Per 100,2485
Nebraska,2005,Crimes Per 100,3710
Ohio,1999,Crimes Per 100,3997
New Jersey,1996,Crimes Per 100,4333
Mississippi,1999,Crimes Per 100,4270
Rhode Island,1995,Crimes Per 100,4245
Iowa,2009,Crimes Per 100,2588
Mississippi,1995,Crimes Per 100,4515
Minnesota,1995,Crimes Per 100,4497
Missouri,1992,Crimes Per 100,5097
New York,2000,Crimes Per 100,3100
Maine,1990,Violent Crimes Per 100,143
Illinois,2006,Property Crimes Per 100,3019
Iowa,1994,Property Crimes Per 100,3340
Georgia,1999,Property Crimes Per 100,4614
Georgia,1998,Property Crimes Per 100,4890
Arizona,2003,Property Crimes Per 100,5634
Kentucky,1993,Violent Crimes Per 100,463
Illinois,1990,Violent Crimes Per 100,967
District of Columbia,2000,Violent Crimes Per 100,1508
Oregon,2014,Property Crimes Per 100,2879
Wyoming,2005,Property Crimes Per 100,3155
Maryland,2015,Property Crimes Per 100,2315
New York,2015,Property Crimes Per 100,1604
North Dakota,2011,Violent Crimes Per 100,247
Alaska,2009,Violent Crimes Per 100,633
Washington,2000,Violent Crimes Per 100,370
Wyoming,2002,Violent Crimes Per 100,273
Wyoming,1990,Violent Crimes Per 100,301
Rhode Island,1998,Violent Crimes Per 100,312
Tennessee,2004,Property Crimes Per 100,4307
New Mexico,2014,Property Crimes Per 100,3542
South Carolina,1992,Property Crimes Per 100,4949
Nevada,2011,Violent Crimes Per 100,562
North Dakota,2003,Violent Crimes Per 100,80
Utah,1995,Violent Crimes Per 100,329
Maryland,2016,Crimes Per 100,2757
South Dakota,2007,Crimes Per 100,1821
North Dakota,1998,Crimes Per 100,2681
Mississippi,2016,Violent Crimes Per 100,281
New Hampshire,2006,Violent Crimes Per 100,138
Colorado,2006,Crimes Per 100,3842
Hawaii,1992,Crimes Per 100,6112
Alabama,1995,Crimes Per 100,4848
Rhode Island,2016,Violent Crimes Per 100,239
Arizona,2013,Property Crimes Per 100,3399
Indiana,1994,Property Crimes Per 100,4068
District of Columbia,2000,Property Crimes Per 100,5769
Arkansas,1999,Property Crimes Per 100,3617
North Carolina,2002,Property Crimes Per 100,4259
North Carolina,1999,Property Crimes Per 100,4634
Mississippi,1998,Violent Crimes Per 100,411
Illinois,2005,Violent Crimes Per 100,552
Indiana,2007,Property Crimes Per 100,3397
Maine,1998,Property Crimes Per 100,2915
Michigan,1994,Property Crimes Per 100,4679
Pennsylvania,1998,Property Crimes Per 100,2852
New York,2003,Property Crimes Per 100,2249
Georgia,2016,Violent Crimes Per 100,398
Florida,2013,Violent Crimes Per 100,460
Maryland,2003,Violent Crimes Per 100,704
Illinois,2006,Violent Crimes Per 100,541
Maryland,1998,Violent Crimes Per 100,797
Massachusetts,1993,Violent Crimes Per 100,805
Massachusetts,1991,Violent Crimes Per 100,736
Idaho,1992,Violent Crimes Per 100,281
Oklahoma,2012,Crimes Per 100,3870
Rhode Island,2007,Crimes Per 100,2850
Missouri,2012,Crimes Per 100,3765
Tennessee,2013,Crimes Per 100,3761
Tennessee,2005,Crimes Per 100,5028
Texas,2001,Crimes Per 100,5153
Tennessee,2008,Property Crimes Per 100,4043
New Mexico,2015,Property Crimes Per 100,3697
South Dakota,2001,Crimes Per 100,2332
South Dakota,2015,Crimes Per 100,2326
Utah,2005,Crimes Per 100,4096
West Virginia,2002,Property Crimes Per 100,2277
New York,2012,Property Crimes Per 100,1922
Michigan,2003,Property Crimes Per 100,3279
Kentucky,2007,Property Crimes Per 100,2518
Illinois,1992,Property Crimes Per 100,4788
Colorado,1998,Property Crimes Per 100,4110
Alabama,2006,Property Crimes Per 100,3936
Indiana,2013,Property Crimes Per 100,2854
Hawaii,1998,Violent Crimes Per 100,247
Kentucky,2011,Property Crimes Per 100,2709
Connecticut,2010,Property Crimes Per 100,2193
New York,1997,Crimes Per 100,3911
Alaska,2011,Crimes Per 100,3239
New Jersey,1998,Violent Crimes Per 100,440
Missouri,2003,Violent Crimes Per 100,491
Maine,2003,Violent Crimes Per 100,109
Alaska,1992,Property Crimes Per 100,4909
Hawaii,1999,Crimes Per 100,4835
Florida,1992,Crimes Per 100,8358
Delaware,2000,Crimes Per 100,4478
Arizona,1995,Crimes Per 100,8214
Vermont,1991,Crimes Per 100,3955
Ohio,1993,Property Crimes Per 100,3981
Nebraska,1998,Property Crimes Per 100,3954
Kentucky,2010,Property Crimes Per 100,2551
Kentucky,2008,Property Crimes Per 100,2584
Georgia,2004,Property Crimes Per 100,4266
Colorado,2013,Property Crimes Per 100,2659
California,2007,Property Crimes Per 100,3033
Rhode Island,2008,Property Crimes Per 100,2841
Utah,2002,Property Crimes Per 100,4211
New York,1993,Property Crimes Per 100,4478
South Dakota,2001,Property Crimes Per 100,2177
California,1997,Violent Crimes Per 100,798
Alaska,1992,Violent Crimes Per 100,660
Vermont,2010,Property Crimes Per 100,2282
Nebraska,2010,Violent Crimes Per 100,280
North Dakota,1995,Violent Crimes Per 100,87
Colorado,1997,Property Crimes Per 100,4287
Massachusetts,2011,Property Crimes Per 100,2259
Michigan,2011,Violent Crimes Per 100,445
North Dakota,2002,Violent Crimes Per 100,78
Oklahoma,1992,Violent Crimes Per 100,623
Louisiana,2011,Violent Crimes Per 100,555
South Dakota,2011,Violent Crimes Per 100,254
Utah,1994,Violent Crimes Per 100,305
Missouri,2001,Violent Crimes Per 100,541
Kentucky,2009,Violent Crimes Per 100,259
Mississippi,1991,Violent Crimes Per 100,389
Michigan,2000,Crimes Per 100,4110
Indiana,1991,Crimes Per 100,4818
Alaska,2000,Crimes Per 100,4249
New York,2004,Violent Crimes Per 100,442
Kentucky,2007,Violent Crimes Per 100,295
Vermont,2013,Crimes Per 100,2329
North Dakota,2013,Crimes Per 100,2350
Washington,1993,Crimes Per 100,5952
Virginia,2008,Property Crimes Per 100,2518
Wyoming,2008,Property Crimes Per 100,2717
Oregon,2000,Property Crimes Per 100,4495
Virginia,1994,Property Crimes Per 100,3690
Maine,2012,Crimes Per 100,2633
Massachusetts,2009,Crimes Per 100,2761
Wyoming,2008,Crimes Per 100,2949
Massachusetts,2012,Crimes Per 100,2559
Oregon,2005,Crimes Per 100,4687
Nevada,1990,Property Crimes Per 100,5463
District of Columbia,2011,Property Crimes Per 100,4796
Hawaii,1994,Property Crimes Per 100,6418
Arkansas,1995,Property Crimes Per 100,4138
Arizona,2006,Violent Crimes Per 100,501
Hawaii,1993,Violent Crimes Per 100,261
Alabama,2015,Violent Crimes Per 100,472
Wisconsin,2015,Property Crimes Per 100,1974
West Virginia,2011,Property Crimes Per 100,2274
Missouri,2014,Property Crimes Per 100,2907
Minnesota,2015,Violent Crimes Per 100,243
Delaware,2005,Property Crimes Per 100,3111
Louisiana,1992,Property Crimes Per 100,5562
South Dakota,2016,Crimes Per 100,2399
Idaho,1999,Crimes Per 100,3150
Kentucky,1992,Crimes Per 100,3324
District of Columbia,1999,Crimes Per 100,8067
Wisconsin,2010,Violent Crimes Per 100,249
Wisconsin,2005,Violent Crimes Per 100,242
Ohio,2013,Violent Crimes Per 100,276
Rhode Island,1997,Violent Crimes Per 100,334
Washington,1991,Crimes Per 100,6304
North Carolina,2004,Crimes Per 100,4608
Vermont,1990,Crimes Per 100,4341
Mississippi,2015,Violent Crimes Per 100,276
Rhode Island,2002,Violent Crimes Per 100,286
Mississippi,2014,Violent Crimes Per 100,279
Kentucky,2006,Crimes Per 100,2807
Louisiana,2010,Crimes Per 100,4197
Vermont,2001,Property Crimes Per 100,2664
New Jersey,2007,Property Crimes Per 100,2213
New Hampshire,2005,Property Crimes Per 100,1796
Maine,2006,Property Crimes Per 100,2518
Louisiana,2013,Property Crimes Per 100,3582
Maryland,2002,Violent Crimes Per 100,771
Alaska,2015,Violent Crimes Per 100,730
Maine,2012,Property Crimes Per 100,2510
Iowa,2009,Property Crimes Per 100,2309
Kansas,2005,Property Crimes Per 100,3787
Kansas,2000,Crimes Per 100,4409
Michigan,2011,Crimes Per 100,3057
New Mexico,1995,Crimes Per 100,6428
Alaska,2002,Crimes Per 100,4310
Minnesota,1996,Property Crimes Per 100,4124
Connecticut,2016,Property Crimes Per 100,1808
Washington,2015,Crimes Per 100,3748
Ohio,2014,Property Crimes Per 100,2799
Wyoming,2004,Violent Crimes Per 100,230
Nevada,2009,Violent Crimes Per 100,702
Washington,1991,Violent Crimes Per 100,523
Pennsylvania,2008,Violent Crimes Per 100,410
Kansas,2007,Violent Crimes Per 100,453
Alaska,1999,Property Crimes Per 100,3729
South Carolina,2014,Property Crimes Per 100,3460
Vermont,2002,Property Crimes Per 100,2424
New York,2005,Property Crimes Per 100,2109
South Dakota,1992,Property Crimes Per 100,2804
Iowa,2013,Violent Crimes Per 100,261
Rhode Island,1995,Violent Crimes Per 100,368
Illinois,1997,Violent Crimes Per 100,861
District of Columbia,1990,Violent Crimes Per 100,2458
Connecticut,1994,Violent Crimes Per 100,456
Maine,1991,Property Crimes Per 100,3636
Kansas,1997,Property Crimes Per 100,4723
Colorado,2005,Property Crimes Per 100,4040
Connecticut,1992,Violent Crimes Per 100,495
North Carolina,2011,Property Crimes Per 100,3527
Indiana,2002,Property Crimes Per 100,3394
Massachusetts,1993,Crimes Per 100,4894
Florida,2004,Crimes Per 100,4891
Arizona,2008,Property Crimes Per 100,4291
Alaska,2001,Property Crimes Per 100,3648
Delaware,2008,Crimes Per 100,4289
Georgia,1996,Crimes Per 100,6310
Georgia,2006,Crimes Per 100,4360
Connecticut,2011,Crimes Per 100,2440
Arizona,2009,Crimes Per 100,3965
South Dakota,2000,Crimes Per 100,2320
Ohio,1998,Crimes Per 100,4328
North Carolina,1996,Crimes Per 100,5526
New Mexico,1992,Crimes Per 100,6434
New York,1998,Crimes Per 100,3589
Texas,1992,Crimes Per 100,7058
Massachusetts,2006,Crimes Per 100,2838
New Mexico,1999,Crimes Per 100,5963
Nevada,1998,Crimes Per 100,5281
Nevada,1996,Crimes Per 100,5992
California,2016,Crimes Per 100,2998
Mississippi,1998,Crimes Per 100,4384
Minnesota,1998,Crimes Per 100,4047
Montana,2007,Property Crimes Per 100,2765
North Carolina,2001,Property Crimes Per 100,4444
Massachusetts,2007,Property Crimes Per 100,2392
Maryland,2008,Crimes Per 100,4146
Pennsylvania,2002,Crimes Per 100,2841
Kansas,2004,Crimes Per 100,4348
Texas,2009,Violent Crimes Per 100,491
New Mexico,2012,Violent Crimes Per 100,559
Montana,2009,Violent Crimes Per 100,254
Washington,1995,Violent Crimes Per 100,484
Virginia,2001,Violent Crimes Per 100,291
Nebraska,2009,Violent Crimes Per 100,282
West Virginia,2004,Crimes Per 100,2777
Indiana,2016,Crimes Per 100,2994
New York,2011,Crimes Per 100,2311
Nebraska,2007,Crimes Per 100,3463
Washington,1994,Violent Crimes Per 100,511
Virginia,1996,Violent Crimes Per 100,341
Rhode Island,2005,Property Crimes Per 100,2719
South Dakota,2006,Property Crimes Per 100,1619
South Dakota,1993,Property Crimes Per 100,2750
Kansas,2006,Violent Crimes Per 100,425
Florida,2010,Violent Crimes Per 100,542
Maryland,2001,Violent Crimes Per 100,783
Maryland,1991,Violent Crimes Per 100,956
North Dakota,2006,Property Crimes Per 100,2000
Ohio,1999,Property Crimes Per 100,3680
Nevada,1999,Property Crimes Per 100,4083
Indiana,2005,Property Crimes Per 100,3456
Nebraska,1993,Property Crimes Per 100,3778
Mississippi,1994,Property Crimes Per 100,4343
New Hampshire,1990,Property Crimes Per 100,3514
Maryland,1997,Property Crimes Per 100,4807
Louisiana,2002,Property Crimes Per 100,4442
Indiana,1997,Property Crimes Per 100,3952
Arkansas,2010,Property Crimes Per 100,3559
Kansas,1991,Violent Crimes Per 100,500
Hawaii,2003,Violent Crimes Per 100,272
Louisiana,1993,Property Crimes Per 100,5785
Arizona,1991,Violent Crimes Per 100,671
Wyoming,2013,Property Crimes Per 100,2198
Arizona,1991,Crimes Per 100,7406
Wisconsin,2012,Violent Crimes Per 100,281
Ohio,2010,Violent Crimes Per 100,315
Wyoming,2012,Violent Crimes Per 100,201
Nevada,2013,Violent Crimes Per 100,591
Nebraska,2016,Violent Crimes Per 100,291
Oklahoma,1996,Property Crimes Per 100,5056
North Dakota,2000,Property Crimes Per 100,2207
New Jersey,2000,Property Crimes Per 100,2777
Minnesota,2001,Property Crimes Per 100,3319
Kansas,2009,Violent Crimes Per 100,400
Georgia,2013,Violent Crimes Per 100,360
Pennsylvania,1990,Violent Crimes Per 100,431
Nevada,1991,Violent Crimes Per 100,677
Virginia,1999,Crimes Per 100,3374
Utah,1991,Crimes Per 100,5608
West Virginia,2015,Crimes Per 100,2358
Colorado,1993,Crimes Per 100,5527
New Hampshire,1994,Crimes Per 100,2741
California,1997,Crimes Per 100,4865
Missouri,1994,Violent Crimes Per 100,744
Wisconsin,1993,Property Crimes Per 100,3790
Utah,1998,Property Crimes Per 100,5192
Rhode Island,1991,Property Crimes Per 100,4577
Nevada,2001,Property Crimes Per 100,3679
Arizona,2016,Violent Crimes Per 100,470
Kentucky,2000,Violent Crimes Per 100,295
Colorado,1997,Violent Crimes Per 100,363
Nebraska,2005,Property Crimes Per 100,3423
Delaware,2016,Property Crimes Per 100,2766
Iowa,1996,Property Crimes Per 100,3376
Colorado,2014,Property Crimes Per 100,2530
Hawaii,1992,Property Crimes Per 100,5854
Alabama,2010,Violent Crimes Per 100,378
Alabama,1995,Violent Crimes Per 100,632
West Virginia,2015,Property Crimes Per 100,2020
West Virginia,1992,Violent Crimes Per 100,212
South Carolina,2001,Violent Crimes Per 100,720
Utah,2006,Violent Crimes Per 100,224
Vermont,1992,Violent Crimes Per 100,109
Rhode Island,1996,Violent Crimes Per 100,347
Texas,2012,Property Crimes Per 100,3362
South Carolina,2010,Property Crimes Per 100,3900
Pennsylvania,2013,Property Crimes Per 100,2061
Pennsylvania,2002,Property Crimes Per 100,2440
Ohio,2001,Violent Crimes Per 100,352
Florida,2016,Violent Crimes Per 100,430
North Dakota,2012,Property Crimes Per 100,2010
Georgia,2014,Property Crimes Per 100,3281
Nebraska,2000,Property Crimes Per 100,3768
New Hampshire,1994,Property Crimes Per 100,2624
Idaho,2015,Violent Crimes Per 100,216
Massachusetts,2004,Violent Crimes Per 100,459
Maine,2001,Violent Crimes Per 100,112
Missouri,1997,Violent Crimes Per 100,577
Maryland,1997,Violent Crimes Per 100,847
North Dakota,1999,Violent Crimes Per 100,67
Mississippi,2003,Violent Crimes Per 100,324
Kansas,1993,Violent Crimes Per 100,496
Arkansas,2014,Crimes Per 100,3818
Indiana,1997,Crimes Per 100,4466
Ohio,1997,Violent Crimes Per 100,435
New Hampshire,2001,Violent Crimes Per 100,170
Michigan,2005,Violent Crimes Per 100,552
Hawaii,2013,Violent Crimes Per 100,245
Minnesota,1994,Violent Crimes Per 100,359
Kansas,2003,Violent Crimes Per 100,398
Kentucky,2014,Crimes Per 100,2459
Indiana,2007,Crimes Per 100,3731
West Virginia,2003,Crimes Per 100,2594
Utah,2011,Crimes Per 100,3168
Nebraska,2010,Crimes Per 100,2953
Minnesota,1994,Crimes Per 100,4341
Nebraska,1999,Crimes Per 100,4108
Maryland,2005,Crimes Per 100,4247
Massachusetts,2001,Crimes Per 100,3099
Connecticut,2011,Property Crimes Per 100,2167
Rhode Island,2013,Property Crimes Per 100,2442
Minnesota,2014,Property Crimes Per 100,2298
West Virginia,1997,Property Crimes Per 100,2250
